iter	Passed	Remaining
382	3775	867
383	3784	857
384	3794	847
385	3803	837
386	3812	827
387	3822	817
388	3832	807
389	3841	797
390	3849	787
391	3858	777
392	3868	767
393	3877	757
394	3888	748
395	3897	738
396	3906	728
397	3915	718
398	3924	708
399	3933	698
400	3943	688
401	3952	678
402	3962	668
403	3972	658
404	3982	648
405	3991	639
406	4001	629
407	4009	619
408	4019	609
409	4028	599
410	4038	589
411	4047	579
412	4056	569
413	4065	559
414	4074	549
415	4084	539
416	4091	529
417	4101	520
418	4110	510
419	4120	500
420	4129	490
421	4139	480
422	4147	470
423	4157	460
424	4167	451
425	4177	441
426	4187	431
427	4196	421
428	4205	411
429	4215	401
430	4224	392
431	4233	382
432	4241	372
433	4251	362
434	4260	352
435	4271	342
436	4279	332
437	4288	323
438	4298	313
439	4307	303
440	4316	293
441	4324	283
442	4334	273
443	4343	264
444	4351	254
445	4361	244
446	4372	234
447	4381	224
448	4390	215
449	4398	205
450	4407	195
451	4418	185
452	4427	175
453	4436	166
454	4444	156
455	4453	146
456	4463	136
457	4471	126
458	4481	117
459	4491	107
460	4500	97
461	4510	87
462	4518	78
463	4527	68
464	4536	58
465	4546	48
466	4555	39
467	4564	29
468	4574	19
469	4582	9
470	4593	0
