iter	RMSE
350	244.5350334
351	241.5507576
352	239.8429849
353	237.6387154
354	234.7707407
355	231.6533859
356	229.8866826
357	229.3372198
358	227.6797464
359	226.4786557
360	225.7388875
361	223.628344
362	220.2571139
363	218.6253647
364	216.9745774
365	213.7216822
366	212.2062523
367	209.0642494
368	204.7183312
369	202.869293
370	201.0574057
371	195.8795626
372	192.7114236
373	191.4723356
374	189.7807723
375	188.2412771
376	185.7946041
377	184.2130637
378	181.568365
379	179.5317924
380	178.3730675
381	177.3897884
382	173.9649559
383	171.7312814
384	170.1525
385	168.0588776
386	166.5239737
387	165.5188773
388	163.2119921
389	161.5369521
390	159.8621285
391	158.9481995
392	157.056588
393	155.0806512
394	154.0643108
395	151.5390387
396	149.9235392
397	147.7280497
398	146.6523724
399	145.1187357
400	143.1428625
401	140.2502197
402	138.8959635
403	137.416321
404	135.6003379
405	134.0782319
406	132.490212
407	130.2914393
408	128.2104622
409	126.8521981
410	125.956172
411	123.8607195
412	122.5155211
413	121.4736383
414	120.7320397
415	119.2434899
416	118.4923343
417	117.5064325
418	115.202223
419	113.3255109
420	111.6437856
421	109.9013765
422	108.9374782
423	108.2973546
424	107.3807204
425	106.8416533
426	105.959776
427	104.4908804
428	103.4805074
429	101.0377615
430	99.91693295
431	98.98071338
432	96.91510013
433	95.18892537
434	94.54721144
435	93.5625964
436	92.43754556
437	92.00939814
438	91.44462191
439	90.25213378
440	88.4681813
441	87.90020334
442	86.30344957
443	84.71424724
444	84.01396726
445	83.21018662
446	81.68274128
447	80.56180139
448	79.36299143
449	78.73073773
450	78.22492222
451	77.1761895
452	76.18306585
453	74.45385284
454	73.58752555
455	73.13606633
456	72.81627187
457	72.12492234
458	71.01659146
459	70.22034873
460	69.19826685
461	68.44416652
462	67.9924344
463	67.65453339
464	67.21933668
465	66.36647719
466	65.87744922
467	65.41361503
468	64.83737456
469	63.64756403
470	63.07173474
